Type,Target,Label,Name,Anmerkung HMT
Class,http://arkumu.org/data/types/akteurin,Akteurin,"04_hfm_Akteurin,06_hfm_Koerperschaften",
Class,http://arkumu.org/data/types/akteurin-akteurin-kreuztabelle,Akteurin Akteurin Kreuztabelle,,
Class,http://arkumu.org/data/types/akteurin-ereignis-kreuztabelle,Akteurin Ereignis Kreuztabelle,"03_hfm_Kreuz_Ereignis_Akteure,05_hfm_Kreuz_Ereignis_Koerperschaften",
Class,http://arkumu.org/data/types/alternativer-titel,Alternativer Titel,,
Class,http://arkumu.org/data/types/beschreibung,Beschreibung,,
Class,http://arkumu.org/data/types/bestehender-lizenzvertrag,Bestehender Lizenzvertrag,,
Class,http://arkumu.org/data/types/digitales-objekt,Digitales Objekt,08_hfm_Digitales_Objekt,
Class,http://arkumu.org/data/types/digitales-objekt-lizenz,Digitales Objekt Lizenz,,
Class,http://arkumu.org/data/types/einliefernde-hochschule,Einliefernde Hochschule,,
Class,http://arkumu.org/data/types/equipment-und-software,Equipment Und Software,,
Class,http://arkumu.org/data/types/equipmentart,Equipmentart,,
Class,http://arkumu.org/data/types/ereignis,Ereignis,02_hfm_Ereignis,
Class,http://arkumu.org/data/types/ereignis-ereignis-kreuztabelle,Ereignis Ereignis Kreuztabelle,,
Class,http://arkumu.org/data/types/ereignisbeschreibung,Ereignisbeschreibung,,
Class,http://arkumu.org/data/types/ereigniseigenschaft,Ereigniseigenschaft,,
Class,http://arkumu.org/data/types/ereigniseigenschaft-kreuztabelle,Ereigniseigenschaft Kreuztabelle,,
Class,http://arkumu.org/data/types/ereignistyp,Ereignistyp,,
Class,http://arkumu.org/data/types/informationstraeger,Informationstraeger,09_hfm_Informationstraeger,
Class,http://arkumu.org/data/types/informationstraeger-kreuztabelle,Informationstraeger Kreuztabelle,,
Class,http://arkumu.org/data/types/informationstraegereigenschaft,Informationstraegereigenschaft,,
Class,http://arkumu.org/data/types/informationstraegertyp,Informationstraegertyp,,
Class,http://arkumu.org/data/types/materialschlagwort,Materialschlagwort,,
Class,http://arkumu.org/data/types/nummernart,Nummernart,,
Class,http://arkumu.org/data/types/organisationseinheit,Organisationseinheit,,
Class,http://arkumu.org/data/types/ort,Ort,,
Class,http://arkumu.org/data/types/physisches-objekt,Physisches Objekt,,
Class,http://arkumu.org/data/types/produktid-kreuztabelle,Produktid Kreuztabelle,,
Class,http://arkumu.org/data/types/projekt,Projekt,00_hfm_Projekte,
Class,http://arkumu.org/data/types/projekt-projekt-kreuztabelle,Projekt Projekt Kreuztabelle,10_hfm_Kreuz_Projekt_Oberwerk,
Class,http://arkumu.org/data/types/projektart,Projektart,,
Class,http://arkumu.org/data/types/projekteigenschaft,Projekteigenschaft,,
Class,http://arkumu.org/data/types/projekteigenschaft-kreuztabelle,Projekteigenschaft Kreuztabelle,,
Class,http://arkumu.org/data/types/projektkategorie,Projektkategorie,,
Class,http://arkumu.org/data/types/rolle,Rolle,,
Class,http://arkumu.org/data/types/sammlung,Sammlung,,
Class,http://arkumu.org/data/types/schlagwort,Schlagwort,,
Class,http://arkumu.org/data/types/sprache,Sprache,,
Class,http://arkumu.org/data/types/technikschlagwort,Technikschlagwort,,
,,,01_hfm_Kreuz_Projekt_Ereignis,Kreuztabelle zwischen Projekt und Ereignis
