Type,Target,Label,Name,Anmerkung KHM
Class,http://arkumu.org/data/types/akteurin,Akteurin,"03_Personen_Akteurinnen,05_PersonenBetreuende",
Class,http://arkumu.org/data/types/akteurin-akteurin-kreuztabelle,Akteurin Akteurin Kreuztabelle,,
Class,http://arkumu.org/data/types/akteurin-ereignis-kreuztabelle,Akteurin Ereignis Kreuztabelle,"02_Kreuz_Projekte_Personen,04_Kreuz_Betreuende_Projekte",
Class,http://arkumu.org/data/types/alternativer-titel,Alternativer Titel,,
Class,http://arkumu.org/data/types/beschreibung,Beschreibung,,
Class,http://arkumu.org/data/types/bestehender-lizenzvertrag,Bestehender Lizenzvertrag,,
Class,http://arkumu.org/data/types/digitales-objekt,Digitales Objekt,"12_Media_DigitaleObjekte,13b_Track_DigitaleObjekte",
Class,http://arkumu.org/data/types/digitales-objekt-lizenz,Digitales Objekt Lizenz,,
Class,http://arkumu.org/data/types/einliefernde-hochschule,Einliefernde Hochschule,,
Class,http://arkumu.org/data/types/equipment-und-software,Equipment Und Software,19_Equipment_und_Software,
Class,http://arkumu.org/data/types/equipmentart,Equipmentart,20_Equipmentart,
Class,http://arkumu.org/data/types/ereignis,Ereignis,"01_Grundereignis,06_Auszeichnungen_Projekte,17_Events_weitereEreignisse",
Class,http://arkumu.org/data/types/ereignis-ereignis-kreuztabelle,Ereignis Ereignis Kreuztabelle,,
Class,http://arkumu.org/data/types/ereignisbeschreibung,Ereignisbeschreibung,,
Class,http://arkumu.org/data/types/ereigniseigenschaft,Ereigniseigenschaft,,
Class,http://arkumu.org/data/types/ereigniseigenschaft-kreuztabelle,Ereigniseigenschaft Kreuztabelle,,
Class,http://arkumu.org/data/types/ereignistyp,Ereignistyp,,
Class,http://arkumu.org/data/types/informationstraeger,Informationstraeger,10_PhysMedien_Informationstraeger,
Class,http://arkumu.org/data/types/informationstraeger-kreuztabelle,Informationstraeger Kreuztabelle,09_Kreuz_Projekte_Informationsträger,
Class,http://arkumu.org/data/types/informationstraegereigenschaft,Informationstraegereigenschaft,,
Class,http://arkumu.org/data/types/informationstraegertyp,Informationstraegertyp,,
Class,http://arkumu.org/data/types/materialschlagwort,Materialschlagwort,,
Class,http://arkumu.org/data/types/nummernart,Nummernart,,
Class,http://arkumu.org/data/types/organisationseinheit,Organisationseinheit,,
Class,http://arkumu.org/data/types/ort,Ort,,
Class,http://arkumu.org/data/types/physisches-objekt,Physisches Objekt,21_PhysischesObjekt,
Class,http://arkumu.org/data/types/produktid-kreuztabelle,Produktid Kreuztabelle,,
Class,http://arkumu.org/data/types/projekt,Projekt,00_Projekte,
Class,http://arkumu.org/data/types/projekt-projekt-kreuztabelle,Projekt Projekt Kreuztabelle,,
Class,http://arkumu.org/data/types/projektart,Projektart,,
Class,http://arkumu.org/data/types/projekteigenschaft,Projekteigenschaft,,
Class,http://arkumu.org/data/types/projekteigenschaft-kreuztabelle,Projekteigenschaft Kreuztabelle,,
Class,http://arkumu.org/data/types/projektkategorie,Projektkategorie,,
Class,http://arkumu.org/data/types/rolle,Rolle,,
Class,http://arkumu.org/data/types/sammlung,Sammlung,,
Class,http://arkumu.org/data/types/schlagwort,Schlagwort,08_Keywords,
Class,http://arkumu.org/data/types/sprache,Sprache,,
Class,http://arkumu.org/data/types/technikschlagwort,Technikschlagwort,,
Property,http://arkumu.org/data/properties/aat-id,Aat Id,AAT_ID,
Property,http://arkumu.org/data/properties/akteurin-akteurin-id,Akteurin Akteurin Id,,
Property,http://arkumu.org/data/properties/akteurin-ereignis-id,Akteurin Ereignis Id,AS_ID,
Property,http://arkumu.org/data/properties/akteurin-id,Akteurin Id,,"nutze ""Datensatz Id Beim Einlieferer"", RB sagt er nutzt dieses nicht, gibt es auch nicht im Datenmodell"
Property,http://arkumu.org/data/properties/akteurin-im-ereignis,Akteurin Im Ereignis,"AS_Pers_ID,PE_ID_fk",
Property,http://arkumu.org/data/properties/akteurin,Akteurin,
Property,http://arkumu.org/data/properties/alternativer-name,Alternativer Name,,
Property,http://arkumu.org/data/properties/alternativer-titel,Alternativer Titel,"Titel_erster_alternativer_Titel,Titel_zweiter_alternativer_Titel",
Property,http://arkumu.org/data/properties/alternativer-titel-set,Alternativer Titel Set,,
Property,http://arkumu.org/data/properties/alternativer-titel-set-id,Alternativer Titel Set Id,,
Property,http://arkumu.org/data/properties/alternativer-untertitel,Alternativer Untertitel,"Titel_erster_alternativer_Untertitel,Titel_zweiter_alternativer_Untertitel",
Property,http://arkumu.org/data/properties/andere-normdaten,Andere Normdaten,PE_Normdatum_andere,
Property,http://arkumu.org/data/properties/angegebene-nutzungsrechte,Angegebene Nutzungsrechte,,
Property,http://arkumu.org/data/properties/anzeigestatus,Anzeigestatus,_ist_arkumu_Preview,
Property,http://arkumu.org/data/properties/art-des-lizenzvertrages,Art Des Lizenzvertrages,_globale_Exportvariablen_arkumu_Art des Lizenzvertrages,
Property,http://arkumu.org/data/properties/aufbewahrungsort,Aufbewahrungsort,Standort_calc,
Property,http://arkumu.org/data/properties/aufloesungsort,Aufloesungsort,,
Property,http://arkumu.org/data/properties/ausgangsakteurin,Ausgangsakteurin,,
Property,http://arkumu.org/data/properties/ausgangsereignis,Ausgangsereignis,,
Property,http://arkumu.org/data/properties/ausgangsprojekt,Ausgangsprojekt,,
Property,http://arkumu.org/data/properties/beruf-und-taetigkeit,Beruf Und Taetigkeit,,
Property,http://arkumu.org/data/properties/beschreibung,Beschreibung,"_Beschreibung_verkettet,_EreignisHerstellungBeschreibung_verkettet,_Beschreibung_verkettet,Beschreibung_DE,Projekte_Material_Beschreibung_calc,Media_Dateipfad kurz.Beschreibung_DE,__TC_Info_aus_Kreuztabelle",
Property,http://arkumu.org/data/properties/beschreibung-id,Beschreibung Id,,
Property,http://arkumu.org/data/properties/besitzerin,Besitzerin,,
Property,http://arkumu.org/data/properties/besitzt-leistungsschutzrechte,Besitzt Leistungsschutzrechte,besitzt_Leistungsschutzrechte,
Property,http://arkumu.org/data/properties/bestehender-lizenzvertrag,Bestehender Lizenzvertrag,_globale_Exportvariablen_arkumu_Bestehender Lizenzvertrag,
Property,http://arkumu.org/data/properties/bestehender-lizenzvertrag-id,Bestehender Lizenzvertrag Id,,
Property,http://arkumu.org/data/properties/bevorzugter-titel,Bevorzugter Titel,Originaltitel,
Property,http://arkumu.org/data/properties/bevorzugter-untertitel,Bevorzugter Untertitel,Untertitel,
Property,http://arkumu.org/data/properties/beziehung,Beziehung,,
Property,http://arkumu.org/data/properties/bildbeschreibung-deutsch,Bildbeschreibung Deutsch,,
Property,http://arkumu.org/data/properties/bildbeschreibung-englisch,Bildbeschreibung Englisch,,
Property,http://arkumu.org/data/properties/dateiabfragedokument,Dateiabfragedokument,,
Property,http://arkumu.org/data/properties/dateiname,Dateiname,"Dateipfad kurz,Dateiname_Kurz,Dateiname_arkumu_web",
Property,http://arkumu.org/data/properties/dateipaket,Dateipaket,,
Property,http://arkumu.org/data/properties/dateipfad,Dateipfad,"Dateipfad_absolut,Dateipfad_DCP_Ordner",
Property,http://arkumu.org/data/properties/datensatz-id-beim-einlieferer,Datensatz Id Beim Einlieferer,"UUID,PE_ID,PE_UUID,Projekt_ID,Projekt_UUID,AS_ID,Kreuz_Lehrende_Proj_ID_pk,Auszeichnungen_Projekte_Ausz_ID,Kreuz_Projekte_Keywords_ID,Keyword_ID,Kreuz_PhysMedien_Proj_ID_pk,PhysMedien_ID,ID,DAT_ID,TR_ID,TR_UUID,Kr_Einlad_ID,Event_ID,Kreuz_Projekte_Equipment_ID,Equipment_ID,Equipmentart_ID,Projekte_Projekt_ID,_arkumu_preview_UUID,Projekte_Projekt_UUID,_arkumu_preview_UUID",
Property,http://arkumu.org/data/properties/datensatzerstellung-beim-einlieferer,Datensatzerstellung Beim Einlieferer,"SQL_Pr_ErstellungsTS,__SQL_TS_Created,Auszeichnungen_Projekte___SQL_TS_Created,SQL_ErstellungsTS,Projekte_SQL_Pr_ErstellungsTS",
Property,http://arkumu.org/data/properties/dcp-art,Dcp Art,,
Property,http://arkumu.org/data/properties/defines-entity-type,Defines Entity Type,,
Property,http://arkumu.org/data/properties/defines-property,Defines Property,,
Property,http://arkumu.org/data/properties/derivatkopie-nummer,Derivatkopie Nummer,,
Property,http://arkumu.org/data/properties/deutsche-beschreibung,Deutsche Beschreibung,"_Beschreibung_verkettet,_EreignisHerstellungBeschreibung_verkettet,_Beschreibung_verkettet,Beschreibung_DE,Projekte_Material_Beschreibung_calc,Media_Dateipfad kurz.Beschreibung_DE,__TC_Info_aus_Kreuztabelle",
Property,http://arkumu.org/data/properties/deutsche-bezeichnung,Deutsche Bezeichnung,,
Property,http://arkumu.org/data/properties/deutsche-bezeichnung-des-lizenzvertrags,Deutsche Bezeichnung Des Lizenzvertrags,,
Property,http://arkumu.org/data/properties/deutsche-inhaltliche-beschreibung,Deutsche Inhaltliche Beschreibung,"Description_DE_verkettet,Projekte_Material_Titel_calc",wird bei RB nur für d.o. benutzt
Property,http://arkumu.org/data/properties/deutsche-kurzbiografie,Deutsche Kurzbiografie,,
Property,http://arkumu.org/data/properties/deutsche-produkt-bezeichnung,Deutsche Produkt Bezeichnung,Equipment_deu,
Property,http://arkumu.org/data/properties/deutscher-anzeigetext,Deutscher Anzeigetext,,
Property,http://arkumu.org/data/properties/deutscher-kommentar,Deutscher Kommentar,,
Property,http://arkumu.org/data/properties/deutscher-name,Deutscher Name,Name_gesamt_natürlicheReihenfolge_calc_export,
Property,http://arkumu.org/data/properties/deutscher-name-der-einliefernden-hochschule,Deutscher Name Der Einliefernden Hochschule,,
Property,http://arkumu.org/data/properties/deutscher-name-der-equipmentart,Deutscher Name Der Equipmentart,Equipmentart_deu,
Property,http://arkumu.org/data/properties/deutscher-name-der-ereigniseigenschaft,Deutscher Name Der Ereigniseigenschaft,,
