Type,Target,Label,Name,Anmerkung KHM
Class,http://arkumu.org/types/akteurin,Akteurin,"03_Personen_Akteurinnen,05_PersonenBetreuende",
Class,http://arkumu.org/types/akteurin-akteurin-kreuztabelle,Akteurin Akteurin Kreuztabelle,,
Class,http://arkumu.org/types/akteurin-ereignis-kreuztabelle,Akteurin Ereignis Kreuztabelle,"02_Kreuz_Projekte_Personen,04_Kreuz_Betreuende_Projekte",
Class,http://arkumu.org/types/alternativer-titel,Alternativer Titel,,
Class,http://arkumu.org/types/beschreibung,Beschreibung,,
Class,http://arkumu.org/types/bestehender-lizenzvertrag,Bestehender Lizenzvertrag,,
Class,http://arkumu.org/types/digitales-objekt,Digitales Objekt,"12_Media_DigitaleObjekte,13b_Track_DigitaleObjekte",
Class,http://arkumu.org/types/digitales-objekt-lizenz,Digitales Objekt Lizenz,,
Class,http://arkumu.org/types/einliefernde-hochschule,Einliefernde Hochschule,,
Class,http://arkumu.org/types/equipment-und-software,Equipment Und Software,19_Equipment_und_Software,
Class,http://arkumu.org/types/equipmentart,Equipmentart,20_Equipmentart,
Class,http://arkumu.org/types/ereignis,Ereignis,"01_Grundereignis,06_Auszeichnungen_Projekte,17_Events_weitereEreignisse",
Class,http://arkumu.org/types/ereignis-ereignis-kreuztabelle,Ereignis Ereignis Kreuztabelle,,
Class,http://arkumu.org/types/ereignisbeschreibung,Ereignisbeschreibung,,
Class,http://arkumu.org/types/ereigniseigenschaft,Ereigniseigenschaft,,
Class,http://arkumu.org/types/ereigniseigenschaft-kreuztabelle,Ereigniseigenschaft Kreuztabelle,,
Class,http://arkumu.org/types/ereignistyp,Ereignistyp,,
Class,http://arkumu.org/types/informationstraeger,Informationstraeger,10_PhysMedien_Informationstraeger,
Class,http://arkumu.org/types/informationstraeger-kreuztabelle,Informationstraeger Kreuztabelle,09_Kreuz_Projekte_Informationsträger,
Class,http://arkumu.org/types/informationstraegereigenschaft,Informationstraegereigenschaft,,
Class,http://arkumu.org/types/informationstraegertyp,Informationstraegertyp,,
Class,http://arkumu.org/types/materialschlagwort,Materialschlagwort,,
Class,http://arkumu.org/types/nummernart,Nummernart,,
Class,http://arkumu.org/types/organisationseinheit,Organisationseinheit,,
Class,http://arkumu.org/types/ort,Ort,,
Class,http://arkumu.org/types/physisches-objekt,Physisches Objekt,21_PhysischesObjekt,
Class,http://arkumu.org/types/produktid-kreuztabelle,Produktid Kreuztabelle,,
Class,http://arkumu.org/types/projekt,Projekt,00_Projekte,
Class,http://arkumu.org/types/projekt-projekt-kreuztabelle,Projekt Projekt Kreuztabelle,,
Class,http://arkumu.org/types/projektart,Projektart,,
Class,http://arkumu.org/types/projekteigenschaft,Projekteigenschaft,,
Class,http://arkumu.org/types/projekteigenschaft-kreuztabelle,Projekteigenschaft Kreuztabelle,,
Class,http://arkumu.org/types/projektkategorie,Projektkategorie,,
Class,http://arkumu.org/types/rolle,Rolle,,
Class,http://arkumu.org/types/sammlung,Sammlung,,
Class,http://arkumu.org/types/schlagwort,Schlagwort,08_Keywords,
Class,http://arkumu.org/types/sprache,Sprache,,
Class,http://arkumu.org/types/technikschlagwort,Technikschlagwort,,
,,,07_Kreuz_Projekte_Keywords,Kreuztabelle zwischen Projekt und Keywords
,,,"11_Kreuz_DigitaleObjekte_Proj,13a_Kreuztabelle_Track_Projekt",Kreuztabelle zwischen 01_Grundereignis und 12_Media_Digitale Objekte und Kreuztabelle zwischen 01_Grundereignis und 13b_Track_DigitaleObjekte
,,,12b_arkumu_previews,
,,,12c_Vorschaubild,
,,,16_Kreuz_Events_Projekte,Kreuztabelle zwischen Projekt und 17_Events
,,,18_Kreuz_Projekte_EquipmentSoftware,Kreuztabelle zwischen Projekt und EquipmentSoftware
Property,http://arkumu.org/properties/aat-id,Aat Id,AAT_ID,
Property,http://arkumu.org/properties/akteurin-akteurin-id,Akteurin Akteurin Id,,
Property,http://arkumu.org/properties/akteurin-ereignis-id,Akteurin Ereignis Id,"AS_ID,Kreuz_Lehrende_Proj_ID_pk",
Property,http://arkumu.org/properties/akteurin-id,Akteurin Id,,"nutze ""Datensatz Id Beim Einlieferer"", RB sagt er nutzt dieses nicht, gibt es auch nicht im Datenmodell"
Property,http://arkumu.org/properties/akteurin-im-ereignis,Akteurin Im Ereignis,,
Property,http://arkumu.org/properties/alternativer-name,Alternativer Name,,
Property,http://arkumu.org/properties/alternativer-titel,Alternativer Titel,"Titel_erster_alternativer_Titel,Titel_zweiter_alternativer_Titel",
Property,http://arkumu.org/properties/alternativer-titel-set,Alternativer Titel Set,,
Property,http://arkumu.org/properties/alternativer-titel-set-id,Alternativer Titel Set Id,,
Property,http://arkumu.org/properties/alternativer-untertitel,Alternativer Untertitel,"Titel_erster_alternativer_Untertitel,Titel_zweiter_alternativer_Untertitel",
Property,http://arkumu.org/properties/andere-normdaten,Andere Normdaten,PE_Normdatum_andere,
Property,http://arkumu.org/properties/angegebene-nutzungsrechte,Angegebene Nutzungsrechte,,
Property,http://arkumu.org/properties/anzeigestatus,Anzeigestatus,_ist_arkumu_Preview,
Property,http://arkumu.org/properties/art-des-lizenzvertrages,Art Des Lizenzvertrages,_globale_Exportvariablen_arkumu_Art des Lizenzvertrages,
Property,http://arkumu.org/properties/aufbewahrungsort,Aufbewahrungsort,Standort_calc,
Property,http://arkumu.org/properties/aufloesungsort,Aufloesungsort,,
Property,http://arkumu.org/properties/ausgangsakteurin,Ausgangsakteurin,,
Property,http://arkumu.org/properties/ausgangsereignis,Ausgangsereignis,,
Property,http://arkumu.org/properties/ausgangsprojekt,Ausgangsprojekt,,
Property,http://arkumu.org/properties/beruf-und-taetigkeit,Beruf Und Taetigkeit,,
Property,http://arkumu.org/properties/beschreibung,Beschreibung,,
Property,http://arkumu.org/properties/beschreibung-id,Beschreibung Id,,
Property,http://arkumu.org/properties/besitzerin,Besitzerin,,
Property,http://arkumu.org/properties/besitzt-leistungsschutzrechte,Besitzt Leistungsschutzrechte,besitzt_Leistungsschutzrechte,
